Region,Country Name,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Americas,Bolivia,169.0000,30.0000,43.0000,14.1000,28.4000,28.7000,86.0000,58.8000,10.9000,54.7000,46.2000,72.8000,60.8000,15.0000,40.0000,9.6000,13.0000,25.0000,24.7000,37.1000,11.7000,97.8000,-7.7000,1.4000,8344.0000,5.6000,0.9000,-1048.0000,67.3000
Europe,Bosnia and Herzegovina,68.0000,36.0000,63.4000,49.2000,37.2000,33.4000,94.0000,46.2000,95.9000,66.6000,60.2000,84.9000,68.8000,65.0000,60.0000,8.1000,10.0000,10.0000,20.1000,42.4000,3.3000,49.3000,-5.5000,1.5000,15047.0000,16.9000,-0.6000,371.0000,38.3000
Sub-Saharan Africa,Botswana,61.0000,3.0000,64.8000,74.2000,70.1000,61.4000,87.4000,59.8000,19.2000,56.7000,61.6000,75.4000,77.2000,65.0000,70.0000,6.4000,25.0000,22.0000,12.1000,36.6000,2.4000,39.6000,-8.3000,1.3000,16893.0000,17.7000,2.0000,80.0000,20.0000
Americas,Brazil,133.0000,26.0000,53.3000,50.3000,57.2000,40.0000,69.9000,53.8000,0.4000,63.2000,55.9000,78.4000,60.0000,60.0000,50.0000,10.0000,27.5000,34.0000,33.1000,39.2000,212.6000,3153.6000,-4.1000,-0.6000,14916.0000,13.7000,3.2000,24778.0000,98.9000
Asia-Pacific,Brunei Darussalam,62.0000,9.0000,64.8000,67.0000,51.6000,61.1000,90.8000,68.1000,20.0000,72.4000,75.0000,72.3000,84.6000,65.0000,50.0000,0.2000,0.0000,18.5000,24.0000,32.6000,0.4000,28.7000,1.2000,0.8000,62371.0000,8.4000,1.9000,577.0000,2.9000
Europe,Bulgaria,29.0000,20.0000,71.0000,77.3000,61.1000,45.6000,93.9000,60.5000,96.2000,72.1000,64.4000,81.9000,79.2000,60.0000,60.0000,2.9000,10.0000,10.0000,20.3000,36.3000,6.9000,164.6000,-3.8000,2.1000,23817.0000,5.7000,1.2000,2426.0000,23.8000
Sub-Saharan Africa,Burkina Faso,100.0000,13.0000,58.3000,47.0000,36.3000,41.4000,81.8000,82.3000,66.1000,41.9000,61.6000,75.6000,61.0000,65.0000,40.0000,9.5000,27.5000,28.0000,16.8000,24.3000,20.9000,47.3000,0.8000,5.1000,2262.0000,5.0000,1.9000,149.0000,44.3000
Asia-Pacific,Burma,149.0000,32.0000,49.6000,23.1000,16.7000,29.8000,87.2000,86.8000,67.2000,41.7000,49.6000,73.9000,69.4000,30.0000,20.0000,5.3000,25.0000,25.0000,5.9000,21.0000,54.4000,278.8000,3.2000,5.7000,5242.0000,1.8000,5.7000,1834.0000,39.3000
Sub-Saharan Africa,Burundi,172.0000,45.0000,39.4000,18.8000,7.1000,12.2000,77.1000,76.4000,10.3000,27.5000,41.5000,70.3000,51.0000,50.0000,30.0000,14.5000,35.0000,30.0000,12.9000,28.1000,11.9000,9.0000,-1.3000,0.4000,760.0000,0.8000,7.3000,6.0000,69.5000
Asia-Pacific,Cambodia,106.0000,21.0000,57.1000,41.2000,20.9000,12.3000,88.7000,81.5000,98.0000,55.2000,47.8000,74.7000,64.8000,50.0000,50.0000,10.1000,20.0000,20.0000,18.2000,24.8000,16.7000,73.6000,-3.5000,5.0000,4695.0000,0.3000,2.9000,3625.0000,31.6000
